Name,Diffuse,pass,,,,
Terrain.00,TileGrass01.ozj,tile4X4,,,,
Terrain.01,TileGrass02.ozj,tile2X2,,,,
Terrain.02,TileGround01.ozj,tile4X4,,,Data/Textures/Tile/WaterNormal2.tga,Data/Textures/Tile/morning_UP.ozj
Terrain.03,TileGround02.ozj,tile2X2,,,Data/Textures/Tile/road_normal.tga,Data/Textures/Tile/envmap.bmp
Terrain.04,TileGround03.ozj,tile2X2,,,,
Terrain.05,TileWater01.ozj,water,,,,
Terrain.06,TileWood01.ozj,tile2X2,,,,
Terrain.07,TileRock01.ozj,tile2X2,,,,
Terrain.08,TileRock02.ozj,tile2X2,,,,
Terrain.09,TileRock03.ozj,tile2X2,,,,
Terrain.10,TileRock04.ozj,tile2X2,,,,
Terrain.11,TileRock05.ozj,tile2X2,,,,
Terrain.12,TileRock06.ozj,tile2X2,,,,
Terrain.13,TileRock07.ozj,tile2X2,,,,
Terrain.14,TileRock08.ozj,tile2X2,,,,
Terrain.15,mine_floor01.dds,tile2X2
Terrain.Grass,TileGrass01.OZT,grass
